pcds,laua,lat,long
BS1 3QA,E06000023,51.461565,-2.591103
BS1 3QD,E06000023,51.461668,-2.59024
BS1 3QE,E06000023,51.461281,-2.590336
BS1 3QF,E06000023,51.46078,-2.591539
BS1 3QN,E06000023,51.462831,-2.589651
BS1 3QP,E06000023,51.462232,-2.590451
BS1 3QS,E06000023,51.461679,-2.591551
BS1 3QT,E06000023,51.462494,-2.590395
BS1 3QU,E06000023,51.462361,-2.589862
BS1 3QW,E06000023,51.462831,-2.589651
BS1 3QX,E06000023,51.461687,-2.590111
BS1 3QY,E06000023,51.462831,-2.589651
BS1 3QZ,E06000023,51.462586,-2.590123
BS1 3RB,E06000023,51.46295,-2.590647
BS1 3RD,E06000023,51.463188,-2.590087
BS1 3RE,E06000023,51.462586,-2.590123
